"month","afai_mean","afai_pos_mean","sarg_pixel_frac","n_days"
2016-07-01,-0.00105847111111111,NA,0,10
2017-02-01,-0.00115838987043581,0.001702,0.00353356890459364,7
2017-03-01,-0.00125045173041894,0.00093625,0.00242865816636308,14
2017-04-01,-0.00144732493297587,NA,0,19
2017-05-01,-0.00155031165600569,0.000579,0.000355366027007818,22
2017-06-01,-0.00143262453253553,NA,0,24
2017-07-01,-0.00129076235799816,0.000681,0.00092109303039607,27
2017-08-01,-0.00139393220338983,0.001115,0.000360620266858997,25
2017-09-01,-0.00134273136246787,0.002698,0.0012853470437018,18
2017-10-01,-0.00141041610738255,0.000604,0.000319590923617769,20
2017-11-01,-0.00144765384615385,0.00159133333333333,0.00117739403453689,21
2017-12-01,-0.00119120580333154,0.00246661111111111,0.00483610961848469,27
2018-01-01,-0.00127983905852417,0.004,0.000636132315521629,29
2018-02-01,-0.00120883406940063,0.00188633333333333,0.0028391167192429,26
2018-03-01,-0.00121935154329418,0.00110147058823529,0.00464354001638896,27
2018-04-01,-0.00126161467236467,0.000987,0.000712250712250712,18
2018-05-01,-0.00143252865731463,NA,0,23
2018-06-01,-0.00129783906399236,NA,0,20
2018-07-01,-0.00129558814887365,0.000681,0.000489715964740451,16
2018-08-01,-0.00126945399146862,0.00171691666666667,0.0036563071297989,24
2018-09-01,-0.00133166865986634,0.001549,0.000351741118536757,19
2018-10-01,-0.00132698376014991,0.00085975,0.00249843847595253,15
2018-11-01,-0.00120440715948778,0.00252766666666667,0.00174621653084983,28
2018-12-01,-0.00115519530733642,0.00167261538461538,0.00429610046265697,20
2019-01-01,-0.00128243484521238,0.004,0.000179985601151908,31
2019-02-01,-0.00124416662928908,0.0016972,0.0011213276519399,28
2019-03-01,-0.00148434232026144,NA,0,19
2019-04-01,-0.00139193758016246,0.000796,0.000855066267635742,21
2019-05-01,-0.0013414427342689,0.00090425,0.00181077410593029,17
2019-06-01,-0.00132740987758548,NA,0,18
2019-07-01,-0.00124718058199619,0.001345,0.00027196083763938,24
2019-08-01,-0.001210358986731,0.00136166666666667,0.000723763570566948,25
2019-09-01,-0.00114766064438422,0.0008342,0.00150557061126167,21
2019-10-01,-0.00123682679063361,0.00060425,0.00137741046831956,22
